date,vix,price,shares,avg_cost,market_value,total_cost,unrealized_pnl,daily_pnl,return_pct,total_return_pct,cash,net_value,note
2026-03-24,21.0,1.947,1540,1.9472,2998.38,2998.68,-0.3,-0.3,-0.01,-0.05,97001.32,2998.38,VIX21.0_BUY
2026-04-07,19.5,1.952,2308,1.9489,4505.22,4497.97,7.25,7.55,0.16,0.12,95502.03,4505.22,VIX19.5_BUY
2026-04-21,19.5,2.133,3222,2.0012,6872.53,6447.72,424.8,417.55,6.59,6.55,93552.28,6872.53,VIX19.5_BUY
2026-05-19,18.15,2.306,4067,2.0645,9378.5,8396.49,982.01,557.21,11.7,11.65,91603.51,9378.5,VIX18.15_BUY
2026-05-28,16.72,2.468,4067,2.0645,10037.36,8396.49,1640.87,658.86,19.54,19.49,91603.51,10037.36,VIX16.72_HOLD
2026-05-29,15.84,2.54,4067,2.0645,10330.18,8396.49,1933.69,292.82,23.03,22.98,91603.51,10330.18,VIX15.84_HOLD
2026-06-01,15.82,2.54,4067,2.0645,10330.18,8396.49,1933.69,0.0,23.03,22.98,91603.51,10330.18,VIX15.82_HOLD
2026-06-02,16.12,2.602,4566,2.1233,11880.73,9695.02,2185.71,252.02,22.54,22.48,91603.51,11880.73,VIX16.12_BUY
2026-06-03,16.04,2.563,4566,2.1233,11702.66,9695.02,2007.64,-178.07,20.71,20.65,91603.51,11702.66,VIX16.04_HOLD
2026-06-04,16.6,2.499,4566,2.1233,11410.43,9695.02,1715.41,-292.23,17.69,17.63,91603.51,11410.43,VIX16.6_HOLD
2026-06-05,15.64,2.463,4566,2.1233,11246.06,9695.02,1551.04,-164.37,16.0,15.94,91603.51,11246.06,VIX15.64_HOLD
2026-06-08,18.91,2.367,4566,2.1233,10807.72,9695.02,1112.7,-438.34,11.48,11.42,91603.51,10807.72,VIX18.91
2026-06-09,18.06,2.456,4566,2.1233,11214.1,9695.02,1519.08,406.37,15.67,15.61,91603.51,11214.1,VIX18.06
2026-06-10,21.06,2.389,4566,2.1233,10908.17,9695.02,1213.16,-305.92,12.51,12.46,91603.51,10908.17,VIX21.06
2026-06-11,20.89,2.367,4566,2.1233,10807.72,9695.02,1112.7,-100.45,11.48,11.42,91603.51,10807.72,VIX20.89
